product_id,total_reviews,avg_star_rating,avg_sentiment
B0000DHZ3W,1,5.0,0.7003
B0000DHZ82,1,5.0,-0.5096
B0000DI06P,1,5.0,0.7506
B0000DI0KA,1,1.0,0.6705
B0000DID48,1,5.0,0.5563
B0000DID5Q,2,4.0,-0.0685
B0000DID5R,12,4.25,0.2319
B0000DID63,1,5.0,0.6597
B0000DID6J,1,5.0,-0.5106
B0000DID77,1,1.0,0.765
B0000DID78,1,5.0,0.9131
B0000DIEJ1,1,5.0,0.5719
B0000DISV2,1,5.0,0.0516
B0000DISV5,1,4.0,0.7717
B0000DIVUR,1,5.0,0.7003
B0000DIWR3,1,5.0,0.7906
B0000DIWWD,2,4.5,0.0389
B0000DIWWE,1,5.0,0.9773
B0000DIX2M,3,5.0,0.9044
B0000DIX2R,3,4.0,0.224
B0000DIXKS,1,3.0,0.7906
B0000DIXKU,3,2.6667,0.1997
B0000DIYIC,1,5.0,0.9584
B0000DIYIJ,1,5.0,0.9217
B0000DIYIN,1,5.0,0.3182
B0000DIYK0,1,5.0,0.9803
B0000DIYKD,1,3.0,0.7351
B0000DIYKE,3,4.6667,0.8456
B0000DIYKF,1,1.0,-0.1531
B0000DIYUZ,1,5.0,0.9217
B0000DIYX3,1,1.0,0.0772
B0000DJ6NG,2,3.0,-0.0066
B0000DJ7RX,5,4.6,0.8093
B0000DJ7SD,1,5.0,0.9246
B0000DJ7SJ,1,2.0,0.7184
B0000DJ7SR,5,3.6,0.9244
B0000DJ7SW,2,5.0,0.8609
B0000DJ7TL,7,3.7143,0.7943
B0000DJ7UH,1,1.0,0.5859
B0000DJ7Y8,1,4.0,0.8023
B0000DJ7Z6,3,5.0,0.907
B0000DJ89V,2,3.5,0.3734
B0000DJ8BW,1,3.0,-0.4767
B0000DJ9LW,2,5.0,0.9009
B0000DJDHN,2,2.5,0.5278
B0000DJDJR,1,5.0,0.9432
B0000DJDJZ,9,4.3333,0.7409
B0000DJDL4,2,5.0,0.9007
B0000DJT38,1,5.0,0.9451
B0000DJT3C,5,4.2,0.4844
B0000DJYWR,1,5.0,0.8911
B0000DK4ZR,2,5.0,0.2514
B0000DK5EO,1,5.0,0.9393
B0000DKQ59,4,3.25,0.3103
B0000DYD91,1,5.0,0.9153
B0000DZEV2,1,5.0,0.9656
B0000E1VNV,2,5.0,0.9086
B0000E1VUG,1,5.0,0.6249
B0000E223C,1,5.0,0.9432
B0000E224H,1,4.0,-0.34
B0000E227M,1,5.0,0.8555
B0000E2EP4,1,1.0,0.0
B0000E2PX6,2,5.0,0.9565
B0000E2RIA,3,5.0,0.9428
B0000E2RIC,1,4.0,0.9081
B0000E2Y9F,1,5.0,0.9446
B0000E2Y9J,1,5.0,0.9592
B0000E2Y9V,1,3.0,0.8363
B0000E2YA0,1,3.0,-0.3818
B0000E2YA1,3,3.6667,0.7087
B0000E2YFN,1,5.0,0.9428
B0000E2YFV,1,5.0,0.9753
B0000E3QKU,1,5.0,0.9812
B0000E5IHG,1,4.0,0.8658
B0000E5IN5,2,5.0,0.9444
B0000E5JMX,1,2.0,0.4779
B0000E5JQ1,1,5.0,0.9062
B0000E5JQK,1,5.0,0.8341
B0000E5L20,1,4.0,0.4215
B0000E65WB,1,5.0,0.8271
B0000E65WE,1,5.0,0.4577
B0000E65WG,1,5.0,0.8779
B0000E65WO,1,5.0,0.9745
B0000E6GZR,1,4.0,0.8519
B0000E6I02,3,4.0,0.8811
B0000E6NMV,1,4.0,0.802
B0000E6NMW,1,5.0,0.8934
